Year,City,"Total Sales","Lake Front Sales","Canal Front Sales"
2018,"WINTER GARDEN",2,2,0
2018,MAITLAND,7,5,2
2018,WINDERMERE,10,8,2
2018,"WINTER PARK",14,14,0
2018,ORLANDO,45,41,4
2017,APOPKA,1,1,0
2017,"MOUNT DORA",1,1,0
2017,"WINTER GARDEN",1,1,0
2017,MAITLAND,6,4,2
2017,WINDERMERE,12,11,1
2017,"WINTER PARK",14,13,1
2017,ORLANDO,36,34,2
2016,APOPKA,1,1,0
2016,GOTHA,1,1,0
2016,OCOEE,1,1,0
2016,"WINTER GARDEN",2,2,0
2016,MAITLAND,6,6,0
2016,"WINTER PARK",9,9,0
2016,WINDERMERE,13,12,1
2016,ORLANDO,39,33,6
2015,MAITLAND,1,1,0
2015,"MOUNT DORA",2,2,0
2015,"WINTER PARK",7,7,0
2015,WINDERMERE,9,7,2
2015,ORLANDO,32,27,5
2014,MAITLAND,1,1,0
2014,"WINTER GARDEN",1,1,0
2014,"WINTER PARK",5,5,0
2014,WINDERMERE,10,9,1
2014,ORLANDO,28,25,3
2013,"WINTER GARDEN",1,1,0
2013,"WINTER PARK",5,5,0
2013,WINDERMERE,16,14,2
2013,ORLANDO,26,24,2
2012,"WINTER GARDEN",1,1,0
2012,MAITLAND,2,1,1
2012,"WINTER PARK",3,3,0
2012,WINDERMERE,5,5,0
2012,ORLANDO,16,16,0
2011,APOPKA,1,1,0
2011,MAITLAND,1,0,1
2011,"MOUNT DORA",1,1,0
2011,WINDERMERE,4,4,0
2011,"WINTER PARK",4,4,0
2011,ORLANDO,17,11,6
2010,OCOEE,1,1,0
2010,MAITLAND,3,3,0
2010,WINDERMERE,3,3,0
2010,"WINTER PARK",7,7,0
2010,ORLANDO,17,16,1
2009,"WINTER GARDEN",1,1,0
2009,MAITLAND,3,3,0
2009,"WINTER PARK",3,3,0
2009,WINDERMERE,4,4,0
2009,ORLANDO,9,7,2
2008,MAITLAND,1,0,1
2008,"WINTER GARDEN",1,1,0
2008,"WINTER PARK",2,2,0
2008,ORLANDO,14,14,0
2007,MAITLAND,1,1,0
2007,"MOUNT DORA",2,2,0
2007,"WINTER PARK",3,3,0
2007,ORLANDO,13,11,2
2006,GOTHA,1,1,0
2006,"WINTER GARDEN",1,1,0
2006,"WINTER PARK",2,2,0
2006,WINDERMERE,3,3,0
2006,ORLANDO,21,18,3
2005,MAITLAND,1,1,0
2005,WINDERMERE,1,1,0
2005,"WINTER GARDEN",4,4,0
2005,"WINTER PARK",7,7,0
2005,ORLANDO,20,19,1
2004,APOPKA,1,1,0
2004,MAITLAND,1,0,1
2004,"WINTER PARK",6,6,0
2004,WINDERMERE,7,6,1
2004,ORLANDO,26,25,1
2003,APOPKA,1,1,0
2003,MAITLAND,2,2,0
2003,WINDERMERE,5,4,1
2003,"WINTER PARK",5,5,0
